institution_id,criterion,value,category_type,category,criterion_cat,n_true,p_true,p_rank
32,george_floyd,0,sub,names_victims,"    ""George Floyd""    ",15,0.40540540540540543,34
33,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",25,0.6756756756756757,2
34,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",9,0.24324324324324326,54
35,george_floyd,0,sub,names_victims,"    ""George Floyd""    ",8,0.21621621621621623,55
36,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",19,0.5135135135135135,17
37,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",16,0.43243243243243246,31
38,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",18,0.4864864864864865,22
39,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",12,0.32432432432432434,49
40,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,45
41,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",17,0.4594594594594595,27
42,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",19,0.5135135135135135,18
43,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",21,0.5675675675675675,8
44,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",19,0.5135135135135135,19
45,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",7,0.1891891891891892,56
46,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",15,0.40540540540540543,35
47,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",14,0.3783783783783784,39
48,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",21,0.5675675675675675,9
49,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,46
50,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",17,0.4594594594594595,28
51,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",18,0.4864864864864865,23
52,george_floyd,0,sub,names_victims,"    ""George Floyd""    ",21,0.5675675675675675,10
53,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",18,0.4864864864864865,24
54,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,47
55,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,48
56,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",14,0.3783783783783784,40
1,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",24,0.6486486486486487,3
2,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",14,0.3783783783783784,36
3,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,41
4,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",9,0.24324324324324326,53
5,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",16,0.43243243243243246,29
6,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",23,0.6216216216216216,4
7,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,42
8,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",15,0.40540540540540543,32
9,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",19,0.5135135135135135,14
10,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",10,0.2702702702702703,51
11,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,43
12,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",20,0.5405405405405406,11
13,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",22,0.5945945945945946,5
14,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",14,0.3783783783783784,37
15,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",19,0.5135135135135135,15
16,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",16,0.43243243243243246,30
17,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",20,0.5405405405405406,12
18,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",18,0.4864864864864865,20
19,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",17,0.4594594594594595,25
20,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",20,0.5405405405405406,13
21,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",14,0.3783783783783784,38
22,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",21,0.5675675675675675,6
23,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",15,0.40540540540540543,33
24,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",19,0.5135135135135135,16
25,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",18,0.4864864864864865,21
26,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",10,0.2702702702702703,52
27,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",26,0.7027027027027027,1
28,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",17,0.4594594594594595,26
29,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",11,0.2972972972972973,50
30,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,44
31,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",21,0.5675675675675675,7
32,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",15,0.40540540540540543,34
33,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",25,0.6756756756756757,2
34,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",9,0.24324324324324326,54
35,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",8,0.21621621621621623,55
36,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",19,0.5135135135135135,17
37,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",16,0.43243243243243246,31
38,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",18,0.4864864864864865,22
39,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",12,0.32432432432432434,49
40,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,45
41,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",17,0.4594594594594595,27
42,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",19,0.5135135135135135,18
43,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",21,0.5675675675675675,8
44,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",19,0.5135135135135135,19
45,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",7,0.1891891891891892,56
46,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",15,0.40540540540540543,35
47,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",14,0.3783783783783784,39
48,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",21,0.5675675675675675,9
49,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,46
50,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",17,0.4594594594594595,28
51,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",18,0.4864864864864865,23
52,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",21,0.5675675675675675,10
53,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",18,0.4864864864864865,24
54,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,47
55,breonna_taylor,0,sub,names_victims,"    ""Breonna Taylor""    ",13,0.35135135135135137,48
56,breonna_taylor,1,sub,names_victims,"    ""Breonna Taylor""    ",14,0.3783783783783784,40
1,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",24,0.6486486486486487,3
2,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",14,0.3783783783783784,36
3,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,41
4,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",9,0.24324324324324326,53
5,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",16,0.43243243243243246,29
6,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",23,0.6216216216216216,4
7,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,42
8,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",15,0.40540540540540543,32
9,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",19,0.5135135135135135,14
10,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",10,0.2702702702702703,51
11,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,43
12,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",20,0.5405405405405406,11
13,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",22,0.5945945945945946,5
14,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",14,0.3783783783783784,37
15,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",19,0.5135135135135135,15
16,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",16,0.43243243243243246,30
17,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",20,0.5405405405405406,12
18,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",18,0.4864864864864865,20
19,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",17,0.4594594594594595,25
20,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",20,0.5405405405405406,13
21,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",14,0.3783783783783784,38
22,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",21,0.5675675675675675,6
23,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",15,0.40540540540540543,33
24,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",19,0.5135135135135135,16
25,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",18,0.4864864864864865,21
26,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",10,0.2702702702702703,52
27,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",26,0.7027027027027027,1
28,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",17,0.4594594594594595,26
29,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",11,0.2972972972972973,50
30,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,44
31,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",21,0.5675675675675675,7
32,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",15,0.40540540540540543,34
33,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",25,0.6756756756756757,2
34,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",9,0.24324324324324326,54
35,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",8,0.21621621621621623,55
36,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",19,0.5135135135135135,17
37,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",16,0.43243243243243246,31
38,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",18,0.4864864864864865,22
39,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",12,0.32432432432432434,49
40,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,45
41,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",17,0.4594594594594595,27
42,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",19,0.5135135135135135,18
43,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",21,0.5675675675675675,8
44,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",19,0.5135135135135135,19
45,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",7,0.1891891891891892,56
46,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",15,0.40540540540540543,35
47,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",14,0.3783783783783784,39
48,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",21,0.5675675675675675,9
49,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,46
50,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",17,0.4594594594594595,28
51,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",18,0.4864864864864865,23
52,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",21,0.5675675675675675,10
53,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",18,0.4864864864864865,24
54,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,47
55,ahmaud_arbery,0,sub,names_victims,"    ""Ahmaud Arbery""    ",13,0.35135135135135137,48
56,ahmaud_arbery,1,sub,names_victims,"    ""Ahmaud Arbery""    ",14,0.3783783783783784,40
1,names_victims,1,main,names_victims,Use of victims' names,24,0.6486486486486487,3
2,names_victims,1,main,names_victims,Use of victims' names,14,0.3783783783783784,36
3,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,41
4,names_victims,1,main,names_victims,Use of victims' names,9,0.24324324324324326,53
5,names_victims,1,main,names_victims,Use of victims' names,16,0.43243243243243246,29
6,names_victims,1,main,names_victims,Use of victims' names,23,0.6216216216216216,4
7,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,42
8,names_victims,1,main,names_victims,Use of victims' names,15,0.40540540540540543,32
9,names_victims,1,main,names_victims,Use of victims' names,19,0.5135135135135135,14
10,names_victims,1,main,names_victims,Use of victims' names,10,0.2702702702702703,51
11,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,43
12,names_victims,1,main,names_victims,Use of victims' names,20,0.5405405405405406,11
13,names_victims,1,main,names_victims,Use of victims' names,22,0.5945945945945946,5
14,names_victims,1,main,names_victims,Use of victims' names,14,0.3783783783783784,37
15,names_victims,1,main,names_victims,Use of victims' names,19,0.5135135135135135,15
16,names_victims,1,main,names_victims,Use of victims' names,16,0.43243243243243246,30
17,names_victims,1,main,names_victims,Use of victims' names,20,0.5405405405405406,12
18,names_victims,1,main,names_victims,Use of victims' names,18,0.4864864864864865,20
19,names_victims,1,main,names_victims,Use of victims' names,17,0.4594594594594595,25
20,names_victims,1,main,names_victims,Use of victims' names,20,0.5405405405405406,13
21,names_victims,0,main,names_victims,Use of victims' names,14,0.3783783783783784,38
22,names_victims,1,main,names_victims,Use of victims' names,21,0.5675675675675675,6
23,names_victims,0,main,names_victims,Use of victims' names,15,0.40540540540540543,33
24,names_victims,1,main,names_victims,Use of victims' names,19,0.5135135135135135,16
25,names_victims,1,main,names_victims,Use of victims' names,18,0.4864864864864865,21
26,names_victims,0,main,names_victims,Use of victims' names,10,0.2702702702702703,52
27,names_victims,1,main,names_victims,Use of victims' names,26,0.7027027027027027,1
28,names_victims,1,main,names_victims,Use of victims' names,17,0.4594594594594595,26
29,names_victims,1,main,names_victims,Use of victims' names,11,0.2972972972972973,50
30,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,44
31,names_victims,1,main,names_victims,Use of victims' names,21,0.5675675675675675,7
32,names_victims,0,main,names_victims,Use of victims' names,15,0.40540540540540543,34
33,names_victims,1,main,names_victims,Use of victims' names,25,0.6756756756756757,2
34,names_victims,1,main,names_victims,Use of victims' names,9,0.24324324324324326,54
35,names_victims,0,main,names_victims,Use of victims' names,8,0.21621621621621623,55
36,names_victims,1,main,names_victims,Use of victims' names,19,0.5135135135135135,17
37,names_victims,1,main,names_victims,Use of victims' names,16,0.43243243243243246,31
38,names_victims,1,main,names_victims,Use of victims' names,18,0.4864864864864865,22
39,names_victims,1,main,names_victims,Use of victims' names,12,0.32432432432432434,49
40,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,45
41,names_victims,1,main,names_victims,Use of victims' names,17,0.4594594594594595,27
42,names_victims,1,main,names_victims,Use of victims' names,19,0.5135135135135135,18
43,names_victims,1,main,names_victims,Use of victims' names,21,0.5675675675675675,8
44,names_victims,1,main,names_victims,Use of victims' names,19,0.5135135135135135,19
45,names_victims,1,main,names_victims,Use of victims' names,7,0.1891891891891892,56
46,names_victims,1,main,names_victims,Use of victims' names,15,0.40540540540540543,35
47,names_victims,1,main,names_victims,Use of victims' names,14,0.3783783783783784,39
48,names_victims,1,main,names_victims,Use of victims' names,21,0.5675675675675675,9
49,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,46
50,names_victims,1,main,names_victims,Use of victims' names,17,0.4594594594594595,28
51,names_victims,1,main,names_victims,Use of victims' names,18,0.4864864864864865,23
52,names_victims,0,main,names_victims,Use of victims' names,21,0.5675675675675675,10
53,names_victims,1,main,names_victims,Use of victims' names,18,0.4864864864864865,24
54,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,47
55,names_victims,1,main,names_victims,Use of victims' names,13,0.35135135135135137,48
56,names_victims,1,main,names_victims,Use of victims' names,14,0.3783783783783784,40
1,black,1,sub,mentions_black_community,"    ""Black""    ",24,0.6486486486486487,3
2,black,0,sub,mentions_black_community,"    ""Black""    ",14,0.3783783783783784,36
3,black,1,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,41
4,black,0,sub,mentions_black_community,"    ""Black""    ",9,0.24324324324324326,53
5,black,0,sub,mentions_black_community,"    ""Black""    ",16,0.43243243243243246,29
6,black,0,sub,mentions_black_community,"    ""Black""    ",23,0.6216216216216216,4
7,black,0,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,42
8,black,1,sub,mentions_black_community,"    ""Black""    ",15,0.40540540540540543,32
9,black,0,sub,mentions_black_community,"    ""Black""    ",19,0.5135135135135135,14
10,black,0,sub,mentions_black_community,"    ""Black""    ",10,0.2702702702702703,51
11,black,0,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,43
12,black,1,sub,mentions_black_community,"    ""Black""    ",20,0.5405405405405406,11
13,black,1,sub,mentions_black_community,"    ""Black""    ",22,0.5945945945945946,5
14,black,0,sub,mentions_black_community,"    ""Black""    ",14,0.3783783783783784,37
15,black,1,sub,mentions_black_community,"    ""Black""    ",19,0.5135135135135135,15
16,black,0,sub,mentions_black_community,"    ""Black""    ",16,0.43243243243243246,30
17,black,1,sub,mentions_black_community,"    ""Black""    ",20,0.5405405405405406,12
18,black,0,sub,mentions_black_community,"    ""Black""    ",18,0.4864864864864865,20
19,black,0,sub,mentions_black_community,"    ""Black""    ",17,0.4594594594594595,25
20,black,1,sub,mentions_black_community,"    ""Black""    ",20,0.5405405405405406,13
21,black,1,sub,mentions_black_community,"    ""Black""    ",14,0.3783783783783784,38
22,black,1,sub,mentions_black_community,"    ""Black""    ",21,0.5675675675675675,6
23,black,1,sub,mentions_black_community,"    ""Black""    ",15,0.40540540540540543,33
24,black,1,sub,mentions_black_community,"    ""Black""    ",19,0.5135135135135135,16
25,black,1,sub,mentions_black_community,"    ""Black""    ",18,0.4864864864864865,21
26,black,0,sub,mentions_black_community,"    ""Black""    ",10,0.2702702702702703,52
27,black,1,sub,mentions_black_community,"    ""Black""    ",26,0.7027027027027027,1
28,black,1,sub,mentions_black_community,"    ""Black""    ",17,0.4594594594594595,26
29,black,0,sub,mentions_black_community,"    ""Black""    ",11,0.2972972972972973,50
30,black,0,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,44
31,black,1,sub,mentions_black_community,"    ""Black""    ",21,0.5675675675675675,7
32,black,1,sub,mentions_black_community,"    ""Black""    ",15,0.40540540540540543,34
33,black,1,sub,mentions_black_community,"    ""Black""    ",25,0.6756756756756757,2
34,black,0,sub,mentions_black_community,"    ""Black""    ",9,0.24324324324324326,54
35,black,1,sub,mentions_black_community,"    ""Black""    ",8,0.21621621621621623,55
36,black,0,sub,mentions_black_community,"    ""Black""    ",19,0.5135135135135135,17
37,black,0,sub,mentions_black_community,"    ""Black""    ",16,0.43243243243243246,31
38,black,1,sub,mentions_black_community,"    ""Black""    ",18,0.4864864864864865,22
39,black,0,sub,mentions_black_community,"    ""Black""    ",12,0.32432432432432434,49
40,black,1,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,45
41,black,0,sub,mentions_black_community,"    ""Black""    ",17,0.4594594594594595,27
42,black,1,sub,mentions_black_community,"    ""Black""    ",19,0.5135135135135135,18
43,black,1,sub,mentions_black_community,"    ""Black""    ",21,0.5675675675675675,8
44,black,1,sub,mentions_black_community,"    ""Black""    ",19,0.5135135135135135,19
45,black,0,sub,mentions_black_community,"    ""Black""    ",7,0.1891891891891892,56
46,black,0,sub,mentions_black_community,"    ""Black""    ",15,0.40540540540540543,35
47,black,0,sub,mentions_black_community,"    ""Black""    ",14,0.3783783783783784,39
48,black,1,sub,mentions_black_community,"    ""Black""    ",21,0.5675675675675675,9
49,black,0,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,46
50,black,1,sub,mentions_black_community,"    ""Black""    ",17,0.4594594594594595,28
51,black,0,sub,mentions_black_community,"    ""Black""    ",18,0.4864864864864865,23
52,black,1,sub,mentions_black_community,"    ""Black""    ",21,0.5675675675675675,10
53,black,0,sub,mentions_black_community,"    ""Black""    ",18,0.4864864864864865,24
54,black,0,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,47
55,black,0,sub,mentions_black_community,"    ""Black""    ",13,0.35135135135135137,48
56,black,1,sub,mentions_black_community,"    ""Black""    ",14,0.3783783783783784,40
1,african_american,0,sub,mentions_black_community,"    ""African-American""    ",24,0.6486486486486487,3
2,african_american,1,sub,mentions_black_community,"    ""African-American""    ",14,0.3783783783783784,36
3,african_american,1,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,41
4,african_american,0,sub,mentions_black_community,"    ""African-American""    ",9,0.24324324324324326,53
5,african_american,0,sub,mentions_black_community,"    ""African-American""    ",16,0.43243243243243246,29
6,african_american,1,sub,mentions_black_community,"    ""African-American""    ",23,0.6216216216216216,4
7,african_american,1,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,42
8,african_american,1,sub,mentions_black_community,"    ""African-American""    ",15,0.40540540540540543,32
9,african_american,1,sub,mentions_black_community,"    ""African-American""    ",19,0.5135135135135135,14
10,african_american,0,sub,mentions_black_community,"    ""African-American""    ",10,0.2702702702702703,51
11,african_american,0,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,43
12,african_american,0,sub,mentions_black_community,"    ""African-American""    ",20,0.5405405405405406,11
13,african_american,1,sub,mentions_black_community,"    ""African-American""    ",22,0.5945945945945946,5
14,african_american,1,sub,mentions_black_community,"    ""African-American""    ",14,0.3783783783783784,37
15,african_american,1,sub,mentions_black_community,"    ""African-American""    ",19,0.5135135135135135,15
16,african_american,0,sub,mentions_black_community,"    ""African-American""    ",16,0.43243243243243246,30
17,african_american,0,sub,mentions_black_community,"    ""African-American""    ",20,0.5405405405405406,12
18,african_american,0,sub,mentions_black_community,"    ""African-American""    ",18,0.4864864864864865,20
19,african_american,1,sub,mentions_black_community,"    ""African-American""    ",17,0.4594594594594595,25
20,african_american,0,sub,mentions_black_community,"    ""African-American""    ",20,0.5405405405405406,13
21,african_american,0,sub,mentions_black_community,"    ""African-American""    ",14,0.3783783783783784,38
22,african_american,0,sub,mentions_black_community,"    ""African-American""    ",21,0.5675675675675675,6
23,african_american,0,sub,mentions_black_community,"    ""African-American""    ",15,0.40540540540540543,33
24,african_american,0,sub,mentions_black_community,"    ""African-American""    ",19,0.5135135135135135,16
25,african_american,0,sub,mentions_black_community,"    ""African-American""    ",18,0.4864864864864865,21
26,african_american,1,sub,mentions_black_community,"    ""African-American""    ",10,0.2702702702702703,52
27,african_american,0,sub,mentions_black_community,"    ""African-American""    ",26,0.7027027027027027,1
28,african_american,1,sub,mentions_black_community,"    ""African-American""    ",17,0.4594594594594595,26
29,african_american,0,sub,mentions_black_community,"    ""African-American""    ",11,0.2972972972972973,50
30,african_american,1,sub,mentions_black_community,"    ""African-American""    ",13,0.35135135135135137,44
31,african_american,0,sub,mentions_black_community,"    ""African-American""    ",21,0.5675675675675675,7
32,african_american,0,sub,mentions_black_community,"    ""African-American""    ",15,0.40540540540540543,34
33,african_american,1,sub,mentions_black_community,"    ""African-American""    ",25,0.6756756756756757,2
